id	label_en	synonym_en	label_ja	synonym_ja
NANDO:1200033	[Shitei] Crow-Fukase syndrome	POEMS syndrome|Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes syndrome	[指定] クロウ・深瀬症候群	POEMS症候群
NANDO:1200034	[Shitei] Multiple system atrophy	MSA	[指定] 多系統萎縮症	
NANDO:1200035	[Shitei] Multiple system atrophy, cerebellar type	Multiple system atrophy, cerebellar variant|MSA-C	[指定] MSA-C	小脳失調優位型
NANDO:1200036	[Shitei] Multiple system atrophy, Parkinsonian type	Multiple system atrophy, parkinsonian variant|MSA-P	[指定] MSA-P	
NANDO:1200037	[Shitei] Spinocerebellar degeneration	SCD	[指定] 脊髄小脳変性症	
NANDO:1200038	[Shitei] Sporadic spinocerebellar degeneration		[指定] 孤発性脊髄小脳変性症	
NANDO:1200039	[Shitei] Cortical cerebellar atrophy	CCA	[指定] 皮質性小脳萎縮症	
NANDO:1200040	[Shitei] Autosomal dominant hereditary spinocerebellar degeneration		[指定] 常染色体優性遺伝性脊髄小脳変性症	
NANDO:1200041	[Shitei] Spinocerebellar ataxia type 3	Machado-Joseph disease|MJD|SCA3	[指定] 脊髄小脳失調症３型	マチャド・ジョセフ病
NANDO:1200042	[Shitei] Spinocerebellar ataxia type 6	SCA6	[指定] 脊髄小脳失調症６型	
NANDO:1200043	[Shitei] Dentatorubropallidoluysian atrophy	Dentatorubral-pallidoluysian atrophy|DRPLA	[指定] 歯状核赤核淡蒼球ルイ体萎縮症	
NANDO:1200044	[Shitei] Spinocerebellar ataxia type 31	SCA31	[指定] 脊髄小脳失調症３１型	
NANDO:1200045	[Shitei] Spinocerebellar ataxia type 1	SCA1	[指定] 脊髄小脳失調症１型	
NANDO:1200046	[Shitei] Spinocerebellar ataxia type 2	SCA2	[指定] 脊髄小脳失調症２型	
NANDO:1200047	[Shitei] Spinocerebellar ataxia type 7	SCA7	[指定] 脊髄小脳失調症７型	
NANDO:1200048	[Shitei] Spinocerebellar ataxia type 36	SCA36	[指定] 脊髄小脳失調症３６型	
NANDO:1200049	[Shitei] Autosomal recessive hereditary spinocerebellar degeneration		[指定] 常染色体劣性遺伝性脊髄小脳変性症	
NANDO:1200050	[Shitei] Ataxia with isolated vitamin E deficiency	AVED	[指定] ビタミンE単独欠乏性失調症	
NANDO:1200051	[Shitei] Ataxia-oculomotor apraxia type 1	AOA1|Early-onset ataxia with ocular motor apraxia and hypoalbuminemia|EAOH	[指定] アプラタキシン欠損症	眼球運動失行を伴う失調症|低アルブミン血症を伴う早発型脊髄小脳変性症
NANDO:1200052	[Shitei] Hereditary spastic paraplegia	HSP	[指定] 痙性対麻痺	
NANDO:1200053	[Shitei] Pure hereditary spastic paraplegia		[指定] 痙性対麻痺（純粋型）	
NANDO:1200054	[Shitei] Complex hereditary spastic paraplegia		[指定] 痙性対麻痺（複合型）	
NANDO:1200055	[Shitei] Lysosomal storage disease		[指定] ライソゾーム病	
NANDO:1200056	[Shitei] Gaucher disease		[指定] ゴーシェ病	Gaucher病
NANDO:1200057	[Shitei] Gaucher disease type 1	GD type 1	[指定] ゴーシェ病１型	Gaucher病1型
NANDO:1200058	[Shitei] Gaucher disease type 2		[指定] ゴーシェ病２型	Gaucher病2型
NANDO:1200059	[Shitei] Gaucher disease type 3		[指定] ゴーシェ病３型	Gaucher病3型
NANDO:1200060	[Shitei] Niemann-Pick disease types A and B/Acid sphingomyelinase deficiency	NPD type A and B|ASMD	[指定] ニーマン・ピック病A、B型/酸性スフィンゴミエリナーゼ欠損症	Niemann-Pick病A型、B型
NANDO:1200061	[Shitei] Niemann-Pick disease type A		[指定] ニーマン・ピック病A型	Niemann-Pick病A型
NANDO:1200062	[Shitei] Niemann-Pick disease type B		[指定] ニーマン・ピック病B型	Niemann-Pick病B型
NANDO:1200063	[Shitei] Niemann-Pick disease type C	NP-C	[指定] ニーマン・ピック病C型	Niemann-Pick病C型
NANDO:1200064	[Shitei] Infantile-onset Niemann-Pick disease type C	 Infantile-onset NPC	[指定] 乳児型ニーマン・ピック病C型	Niemann-Pick病C型（乳児型）
NANDO:1200065	[Shitei] Adult-onset Niemann-Pick disease type C		[指定] 成人型ニーマン・ピック病C型	Niemann-Pick病C型（成人型）
NANDO:1200066	[Shitei] GM1 gangliosidosis	Beta-galactosidase-1 deficiency	[指定] GM1ガングリオシドーシス	
NANDO:1200067	[Shitei] Infantile GM1 gangliosidosis	Type 1 GM1 gangliosidosis	[指定] 乳児型GM1-ガングリオシドーシス	
NANDO:1200068	[Shitei] Juvenile GM1 gangliosidosis	Type 2 GM1 gangliosidosis	[指定] 若年型GM1-ガングリオシドーシス	
NANDO:1200069	[Shitei] Adult GM1 gangliosidosis	Type 3 GM1 gangliosidosis	[指定] 成人型GM1-ガングリオシドーシス	
NANDO:1200070	[Shitei] GM2 gangliosidosis		[指定] GM2ガングリオシドーシス	
NANDO:1200071	[Shitei] Tay-Sachs disease	TSD	[指定] Tay-Sachs病	テイ・サックス病
NANDO:1200072	[Shitei] Sandhoff disease	SD	[指定] サンドホフ病	
NANDO:1200073	[Shitei] GM2 gangliosidosis AB variant	GM2-gangliosidosis, AB variant	[指定] AB型GM2ガングリオシドーシス	
NANDO:1200074	[Shitei] Krabbe disease		[指定] クラッベ病	Krabbe病
NANDO:1200075	[Shitei] Infantile Krabbe disease		[指定] 乳児型クラッベ病	Krabbe病（乳児型）
NANDO:1200076	[Shitei] Juvenile Krabbe disease		[指定] 若年型クラッベ病	Krabbe病（若年型）
NANDO:1200077	[Shitei] Adult Krabbe disease		[指定] 成人型クラッベ病	Krabbe病（成人型）
NANDO:1200078	[Shitei] Metachromatic leukodystrophy	MLD	[指定] 異染性白質ジストロフィー	
NANDO:1200079	[Shitei] Late infantile metachromatic leukodystrophy		[指定] 後期乳児型異染性白質ジストロフィー	
NANDO:1200080	[Shitei] Juvenile ｍetachromatic leukodystrophy		[指定] 若年型異染性白質ジストロフィー	
NANDO:1200081	[Shitei] Adult metachromatic leukodystrophy		[指定] 成人型異染性白質ジストロフィー	
NANDO:1200082	[Shitei] Saposin B deficiency		[指定] サポシンB欠損症	
NANDO:1200083	[Shitei] Multiple sulfatase deficiency		[指定] マルチプルサルファターゼ欠損症	多発性スルファターゼ欠損症|マルチプルスルファターゼ欠損症
NANDO:1200084	[Shitei] Neonatal multiple sulfatase deficiency		[指定] 新生児型マルチプルスルファターゼ欠損症	
NANDO:1200085	[Shitei] Late-infantile multiple sulfatase deficiency		[指定] 乳幼児型マルチプルスルファターゼ欠損症	
NANDO:1200086	[Shitei] Farber disease	Farber's lipogranulomatosis|FD	[指定] ファーバー病	Farber病
NANDO:1200087	[Shitei] Type 1 Farber disease	Classic FD|Type 1 FD	[指定] 古典型ファーバー病	Farber病（古典型）
NANDO:1200088	[Shitei] Type 2 Farber disease	Intermediate FD|Type 2 FD	[指定] 中間型ファーバー病	Farber病（中間型）
NANDO:1200089	[Shitei] Type 3 Farber disease	Mild FD|Type 3 FD	[指定] 軽症型ファーバー病	Farber病（軽症型）
NANDO:1200090	[Shitei] Type 4 Farber disease	Neonatal-visceral FD|Type 4 FD	[指定] 新生児型ファーバー病	Farber病（新生児型）
NANDO:1200091	[Shitei] Type 5 Farber disease	Neurologic FD|Neurological Progressive variant|Type 5 FD	[指定] 進行性神経障害型ファーバー病	Farber病（神経進行型）
NANDO:1200092	[Shitei] Type 6 Farber disease	Combined Farber and Sandhoff Disease variant|Type 6 FD	[指定] サンドホフ病合併型ファーバー病	Farber病（サンドホッフ病合併型）
NANDO:1200093	[Shitei] Type 7 Farber disease	Prosaposin Deficiency|Type 7 FD	[指定] ファーバー病（プロサポシン欠損型）	Farber病（プロサポシン欠損型）
NANDO:1200094	[Shitei] Hurler disease	Mucopolysaccharidosis type IH|MPS IH	[指定] ハーラー病	ムコ多糖症I型 （Hurler症候群）|ハーラー症候群
NANDO:1200095	[Shitei] Scheie disease	Mucopolysaccharidosis type IS|MPS IS	[指定] シェイエ病	ムコ多糖症I型 （Scheie症候群）|シェイエ症候群
NANDO:1200096	[Shitei] Hurler-Scheie disease	Mucopolysaccharidosis type IH/S|MPS IH/S	[指定] ハーラー／シェイエ病	ムコ多糖症I型 （Hurler／Scheie症候群）|ハーラー／シェイエ症候群
NANDO:1200097	[Shitei] Hunter syndrome	Mucopolysaccharidosis type II|MPS II	[指定] Hunter症候群	ハンター症候群|ムコ多糖症II型
NANDO:1200098	[Shitei] Hunter syndrome type A	Mucopolysaccharidosis type IIA|Mucopolysaccharidosis type II, severe form|MPS IIA	[指定] ハンター症候群（重症型）	ムコ多糖症II型 （重症型）
NANDO:1200099	[Shitei] Hunter syndrome type B	Mucopolysaccharidosis type IIB|Mucopolysaccharidosis type II, attenuated form|MPS IIB	[指定] ハンター症候群（軽症型）	ムコ多糖症II型 （軽症型）
NANDO:1200100	[Shitei] Sanfilippo disease	Mucopolysaccharidosis type III|MPS III	[指定] サンフィリッポ症候群	ムコ多糖症III型
NANDO:1200101	[Shitei] Sanfilippo disease type A	Mucopolysaccharidosis type IIIA|MPS IIIA	[指定] サンフィリッポ症候群A型	ムコ多糖症III型A型
NANDO:1200102	[Shitei] Sanfilippo disease type B	Mucopolysaccharidosis type IIIB|MPS IIIB	[指定] サンフィリッポ症候群B型	ムコ多糖症III型B型
NANDO:1200103	[Shitei] Sanfilippo disease type C	Mucopolysaccharidosis type IIIC|MPS IIIC	[指定] サンフィリッポ症候群C型	ムコ多糖症III型C型
NANDO:1200104	[Shitei] Sanfilippo disease type D	Mucopolysaccharidosis type IIID|MPS IIID	[指定] サンフィリッポ症候群D型	ムコ多糖症III型D型
NANDO:1200105	[Shitei] Morquio syndrome	Mucopolysaccharidosis type IV|MPS IV	[指定] モルキオ症候群	Morquio症候群|ムコ多糖症IV型
NANDO:1200106	[Shitei] Morquio syndrome type A	Mucopolysaccharidosis type IVA|MPS IVA	[指定] モルキオ症候群A型	ムコ多糖症IV型A型|Morquio症候群A型
NANDO:1200107	[Shitei] Morquio syndrome type B	Mucopolysaccharidosis type IVB|MPS IVB	[指定] モルキオ症候群B型	ムコ多糖症IV型B型
NANDO:1200108	[Shitei] Maroteaux-Lamy syndrome	Mucopolysaccharidosis type VI|MPSVI|Maroteaux-Lamy disease	[指定] マロトー・ラミー症候群	Maroteaux-Lamy症候群|ムコ多糖症VI型
NANDO:1200109	[Shitei] Maroteaux Lamy syndrome, rapidly progressing form	Mucopolysaccharidosis type VI|MPS VI	[指定] マロトー・ラミー症候群（重症型）	ムコ多糖症VI型 （重症型）|Maroteaux-Lamy症候群（重症型）
NANDO:1200110	[Shitei] Maroteaux Lamy syndrome, slowly progressing form	Mucopolysaccharidosis type VI|MPS VI	[指定] マロトー・ラミー症候群（軽症型）	ムコ多糖症VI型 （軽症型）|Maroteaux-Lamy症候群（軽症型）
NANDO:1200111	[Shitei] Sly syndrome	MPS VII|mucopolysaccharidosis type VII|Sly disease	[指定] Sly病	ムコ多糖症VII型
NANDO:1200112	[Shitei] Sly syndrome, neonatal form	neonatal form of MPS-VII	[指定] Sly病（新生児型）	ムコ多糖症VII型 （新生児型）
NANDO:1200113	[Shitei] Sly syndrome, intermediate form	intermediate form of MPS 7	[指定] Sly病（中間型）	ムコ多糖症VII型 （中間型）
NANDO:1200114	[Shitei] Sly syndrome, mild form	mild form of MPS VII	[指定] Sly病（軽症型）	ムコ多糖症VII型 （軽症型）
NANDO:1200115	[Shitei] Hyaluronidase deficiency	Mucopolysaccharidosis Type IX	[指定] ヒアルロニダーゼ欠損症	ムコ多糖症IX型 
NANDO:1200116	[Shitei] Sialidosis		[指定] シアリドーシス	
NANDO:1200117	[Shitei] Sialidosis type 1		[指定] シアリドーシスI型	
NANDO:1200118	[Shitei] Sialidosis type 2		[指定] シアリドーシスII型	
NANDO:1200119	[Shitei] Galactosialidosis		[指定] ガラクトシアリドーシス	
NANDO:1200120	[Shitei] Galactosialidosis, early infantile form	Sialidosis type II	[指定] 新生児及び早期乳児型ガラクトシアリドーシス	
NANDO:1200121	[Shitei] Galactosialidosis, late infantile form		[指定] 晩期乳児型ガラクトシアリドーシス	
NANDO:1200122	[Shitei] Galactosialidosis, juvenile/adult form		[指定] 若年及び成人型ガラクトシアリドーシス	
NANDO:1200123	[Shitei] Mucolipidosis II, III		[指定] ムコリピドーシスII型,III型	
NANDO:1200124	[Shitei] Mucolipidosis II	ML II|I-cell disease	[指定] ムコリピドーシスII型	I-cell病
NANDO:1200125	[Shitei] Mucolipidosis III	ML III	[指定] ムコリピドーシスIII型	
NANDO:1200126	[Shitei] Alpha-mannosidosis	α-Mannosidosis	[指定] α-マンノシドーシス	
NANDO:1200127	[Shitei] Alpha-mannosidosis, infantile form	alpha-mannosidosis, type I	[指定] 乳児型α - マンノシドーシス	乳児型（type I）
NANDO:1200128	[Shitei] Alpha-mannosidosis, adult form		[指定] 若年成人型α - マンノシドーシス	若年成人型（type II）
NANDO:1200129	[Shitei] Beta-mannosidosis	β-mannosidosis	[指定] β-マンノシドーシス	
NANDO:1200130	[Shitei] Fucosidosis		[指定] フコシドーシス	
NANDO:1200131	[Shitei] Fucosidosis, infantile form	Fucosidosis type I	[指定] 乳児型フコシドーシス	
NANDO:1200132	[Shitei] Fucosidosis, milder form	Fucosidosis Type II	[指定] 軽症型フコシドーシス	
NANDO:1200133	[Shitei] Aspartylglucosaminuria		[指定] アスパルチルグルコサミン尿症	
NANDO:1200134	[Shitei] Schindler disease	Alpha-N-acetylgalactosaminidase deficiency|NAGA deficiency	[指定] シンドラー病	
NANDO:1200135	[Shitei] Schindler disease type I	Alpha-N-acetylgalactosaminidase deficiency type 1|NAGA deficiency type 1	[指定] シンドラー病I型	Schindler病I型
NANDO:1200136	[Shitei] Schindler disease type 2	Alpha-N-acetylgalactosaminidase deficiency type 2|NAGA deficiency type 2|Kanzaki disease	[指定] シンドラー病II型	Schindler病II型|神崎病
NANDO:1200137	[Shitei] Schindler disease type 3	Alpha-N-acetylgalactosaminidase deficiency type 3|NAGA deficiency type 3	[指定] シンドラー病III型	Schindler病III型
NANDO:1200138	[Shitei] Pompe disease		[指定] ポンペ病	Pompe病
NANDO:1200139	[Shitei] Classic infantile Pompe disease		[指定] 乳児型ポンペ病	Pompe病（乳児型）
NANDO:1200140	[Shitei] Childhood-onset Pompe disease		[指定] 小児型ポンペ病	Pompe病（小児型）
NANDO:1200141	[Shitei] Adult-onset Pompe disease		[指定] 成人型ポンペ病	Pompe病（成人型）
NANDO:1200142	[Shitei] Acid lipase deficiency	Wolman disease and cholesterol ester storage disease|Cholesteryl ester storage disease and Wolman disease	[指定] 酸性リパーゼ欠損症	
NANDO:1200143	[Shitei] Wolman disease		[指定] ウォルマン病	Wolman病
NANDO:1200144	[Shitei] Cholesterol ester storage disease	CESD	[指定] コレステロールエステル蓄積症	
NANDO:1200145	[Shitei] obsolete Danon disease		[指定] obsolete ダノン病	Danon病
NANDO:1200146	[Shitei] Free sialic acid storage disease		[指定] 遊離シアル酸蓄積症	
NANDO:1200147	[Shitei] Infantile free sialic acid storage disease	ISSD	[指定] 乳児型遊離シアル酸蓄積症	遊離シアル酸蓄積症（重症型）
NANDO:1200148	[Shitei] Intermediate severe Salla disease		[指定] 中間型遊離シアル酸蓄積症	重症Salla病
NANDO:1200149	[Shitei] obsolete Salla disease	SD	[指定] obsolete サラ病	遊離シアル酸蓄積症（軽症型）|Salla病
NANDO:1200150	[Shitei] Neuronal ceroid-lipofuscinosis	NCL	[指定] セロイドリポフスチノーシス	神経セロイドリポフスチン症
NANDO:1200151	[Shitei] Congenital neuronal ceroid lipofuscinosis		[指定] 先天型神経セロイドリポフスチン症	
NANDO:1200152	[Shitei] Infantile neuronal ceroid lipofuscinosis	INCL|Infantile Batten disease|CLN1	[指定] 乳児型神経セロイドリポフスチン症	
NANDO:1200153	[Shitei] Late infantile neuronal ceroid lipofuscinosis	CLN2|LINCL|Jansky-Bielschowsky disease	[指定] 遅発乳児型神経セロイドリポフスチン症	
NANDO:1200154	[Shitei] Juvenile neuronal ceroid lipofuscinosis	JNCL|NCL3|Batten disease|Spielmeyer-Vogt-Sjogren disease	[指定] 若年型神経セロイドリポフスチン症	Batten病
NANDO:1200155	[Shitei] Adult neuronal ceroid lipofuscinosis	ANCL|Kufs disease|Kufs' disease|CLN4	[指定] 成人型神経セロイドリポフスチン症	
NANDO:1200156	[Shitei] Atypical neuronal-ceroid lipofuscinosis		[指定] セロイドリポフスチノーシス（非定型型）	
NANDO:1200157	[Shitei] Fabry disease		[指定] ファブリー病	Fabry病
NANDO:1200158	[Shitei] Classical Fabry disease	classic Fabry disease|Type 1 Fabry disease	[指定] 古典型ファブリー病	Fabry病（古典型）
NANDO:1200159	[Shitei] Variant Fabry disease	late-onset Fabry disease	[指定] 亜型ファブリー病	Fabry病（亜型）
NANDO:1200160	[Shitei] Heterozygous Fabry disease		[指定] ファブリー病顕性ヘテロ接合体	Fabry病（顕性ヘテロ接合体）
NANDO:1200161	[Shitei] Cystinosis		[指定] シスチン症	
NANDO:1200162	[Shitei] Nephropathic cystinosis	Infantile nephropathic cystinosis	[指定] 腎型シスチン症	
NANDO:1200163	[Shitei] Intermediate cystinosis	Juvenile nephropathic cystinosis|Juvenile cystinosis	[指定] 中間型シスチン症	
NANDO:1200164	[Shitei] Non-nephropathic cystinosis 	ocular cystinosis 	[指定] 非腎型シスチン症	シスチン症（眼型）
NANDO:1200165	[Shitei] Adrenoleukodystrophy		[指定] 副腎白質ジストロフィー	
NANDO:1200166	[Shitei] Childhood cerebral adrenoleukodystrophy	CCALD	[指定] 小児大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（小児大脳型）
NANDO:1200167	[Shitei] Adolescent cerebral adrenoleukodystrophy	AdolCALD	[指定] 思春期大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（思春期大脳型）
NANDO:1200168	[Shitei] Adrenomyeloneuropathy	AMN|Adrenoleukodystrophy	[指定] 副腎脊髄ニューロパチー	副腎白質ジストロフィー
NANDO:1200169	[Shitei] Adult cerebral adrenoleukodystrophy	ACALD	[指定] 成人大脳型副腎白質ジストロフィー	副腎白質ジストロフィー（成人大脳型）
NANDO:1200170	[Shitei] Atypical X-linked adult adrenoleukodystrophy		[指定] 小脳・脳幹型副腎白質ジストロフィー	副腎白質ジストロフィー（小脳・脳幹型）
NANDO:1200171	[Shitei] Addison-only adrenoleukodystrophy		[指定] アジソン型副腎白質ジストロフィー	副腎白質ジストロフィー（アジソン型）
NANDO:1200172	[Shitei] Female adrenoleukodystrophy		[指定] 副腎白質ジストロフィー（女性発症者）	
NANDO:1200173	[Shitei] Mitochondrial diseases		[指定] ミトコンドリア病	ミトコンドリア脳筋症
NANDO:1200175	[Shitei] Leigh's encephalomyelopathy	Leigh encephalomyelopathy	[指定] リー脳症	
NANDO:1200176	[Shitei] Mitochondrial encephalomyopathy, lactic acidosis, and strokelike episodes syndrome	MELAS syndrome|MELAS	[指定] ミトコンドリア脳筋症・乳酸アシドーシス・脳卒中様発作症候群	MELAS
NANDO:1200177	[Shitei] Myoclonus epilepsy associated with ragged-red fibers	MERRF	[指定] 赤色ぼろ線維・ミオクローヌスてんかん症候群	MERRF
NANDO:1200178	[Shitei] Leber disease	LHON	[指定] レーバー病	
NANDO:1200179	[Shitei] Mitochondrial diseases with proven biochemical abnormality		[指定] 生化学的異常が明らかになったミトコンドリア病	
NANDO:1200180	[Shitei] Mitochondrial complex I deficiency		[指定] 複合体I欠損症	
NANDO:1200181	[Shitei] Mitochondrial complex II deficiency		[指定] 複合体II欠損症	
NANDO:1200182	[Shitei] Hyperlacticacidemia with no identified etiology	Hyperlacticacidaemia with no identified etiology	[指定] 原因不明な高乳酸血症	
NANDO:1200183	[Shitei] Moyamoya disease		[指定] もやもや病	ウィリス動脈輪閉塞症
NANDO:1200184	[Shitei] Bilateral moyamoya disease		[指定] もやもや病（両側型）	
NANDO:1200185	[Shitei] Unilateral moyamoya disease		[指定] もやもや病（片側型）	
NANDO:1200186	[Shitei] Prion disease		[指定] プリオン病	
NANDO:1200187	[Shitei] Sporadic Creutzfeldt-Jakob disease	sCJD	[指定] 孤発性クロイツフェルト・ヤコブ病	特発性クロイツフェルト・ヤコブ病
NANDO:1200188	[Shitei] Genetic prion diseases		[指定] 遺伝性プリオン病	
NANDO:1200189	[Shitei] Familial Creutzfeldt-Jakob disease		[指定] 家族性クロイツフェルト・ヤコブ病	家族性CJD
NANDO:1200190	[Shitei] Gerstmann-Straussler-Scheinker syndrome	GSS	[指定] ゲルストマン・ストロイスラー・シャインカー病	
NANDO:1200191	[Shitei] Fatal familial insomnia	FFI	[指定] 致死性家族性不眠症	
NANDO:1200192	[Shitei] Environmentally acquired Creutzfeldt-Jakob disease		[指定] 獲得性クロイツフェルト・ヤコブ病	
NANDO:1200193	[Shitei] Iatrogenic Creutzfeldt-Jakob disease	Iatrogenic CJD	[指定] 医原性クロイツフェルト・ヤコブ病	
NANDO:1200194	[Shitei] Variant Creutzfeldt-Jakob disease	vCJD	[指定] 変異型クロイツフェルトヤコブ病	
NANDO:1200195	[Shitei] Subacute sclerosing panencephalitis	SSPE	[指定] 亜急性硬化性全脳炎	
NANDO:1200196	[Shitei] Typical subacute sclerosing panencephalitis		[指定] 亜急性硬化性全脳炎（典型）	
NANDO:1200197	[Shitei] Rapidly progressive subacute sclerosing panencephalitis		[指定] 急速進行型亜急性硬化性全脳炎	
NANDO:1200198	[Shitei] Subacute progressive sclerosing panencephalitis		[指定] 亜急性進行型硬化性全脳炎	
NANDO:1200199	[Shitei] Slowly progressive subacute sclerosing panencephalitis		[指定] 緩徐進行型亜急性硬化性全脳炎	
NANDO:1200200	[Shitei] Chronic relapsing-remitting subacute sclerosing panencephalitis		[指定] 慢性再発−寛解型亜急性硬化性全脳炎	
NANDO:1200201	[Shitei] Atypical subacute sclerosing panencephalitis		[指定] 亜急性硬化性全脳炎（非典型）	
NANDO:1200202	[Shitei] Subacute sclerosing panencephalitis presenting only with convulsion		[指定] 亜急性硬化性全脳炎（症状が痙攣のみの例）	
NANDO:1200203	[Shitei] Subacute sclerosing panencephalitis with prolonged Jabbour's clinical stage I		[指定] 亜急性硬化性全脳炎（Jabbour分類の I 期が遷延する例）	
NANDO:1200204	[Shitei] Subacute sclerosing panencephalitis in infants or adults		[指定] 亜急性硬化性全脳炎（乳児あるいは成人例）	
NANDO:1200205	[Shitei] Progressive multifocal leukoencephalopathy	PML	[指定] 進行性多巣性白質脳症	
NANDO:1200206	[Shitei] HTLV-1-associated myelopathy	HAM	[指定] HTLV-1関連脊髄症	HAM
NANDO:1200207	[Shitei] Idiopathic basal ganglia calcification	IBGC	[指定] 特発性基底核石灰化症	
NANDO:1200208	[Shitei] Familial idiopathic basal ganglia calcification	FIBGC	[指定] 家族性特発性基底核石灰化症	FIBGC
NANDO:1200209	[Shitei] Systemic amyloidosis		[指定] 全身性アミロイドーシス	
NANDO:1200210	[Shitei] AL amyloidosis; Transthyretin-related senile systemic amyloidosis	Immunoglobulin-related amyloidosis	[指定] 免疫グロブリン性アミロイドーシス;老人性トランスサイレチン型（TTR）アミロイドーシス;反応性AAアミロイドーシス	ALアミロイドーシス
NANDO:1200211	[Shitei] Amyloid light-chain amyloidosis	Immunoglobulin-related amyloidosis|AL amyloidosis	[指定] 免疫グロブリン性アミロイドーシス	ALアミロイドーシス|AL/AH アミロイドーシス
